distance,A3.1-A4.1,A3.7-A4.7,A5.1,A5.2,A5.4,y
0.05678786322204402,38,5,5,1,1,A3.1-A4.1
0.05678786322204402,38,5,5,1,1,A3.1-A4.1
0.035031982049520564,7,4,0,0,0,A3.1-A4.1
0.0430351582800649,13,0,1,0,0,A3.1-A4.1
0.01474498560138009,3,0,2,0,0,A3.1-A4.1
0.013101299072114998,4,0,2,0,0,A3.1-A4.1
0.05292503967722794,13,2,2,0,1,A3.1-A4.1
0.010249397645479465,2,0,2,0,0,A3.1-A4.1
0.010249397645479465,2,0,2,0,0,A3.1-A4.1
0.062432023464554176,38,5,5,1,1,A3.1-A4.1
0.062432023464554176,38,5,5,1,1,A3.1-A4.1
0.1847039561204276,27,17,11,0,0,A3.1-A4.1
0.011650444635227457,2,1,1,15,0,A5.2
0.04143775588439071,7,2,7,0,0,A3.1-A4.1
0.01636960573389037,3,2,5,0,0,A5.1
0.012202835825176466,3,2,5,0,0,A5.1
0.003176291920430371,0,0,1,0,0,A5.1
0.002790602804592841,1,0,0,0,0,A3.1-A4.1
0.013103919205029695,0,0,0,0,4,A5.4
0.147806807270395,19,1,5,0,23,A5.4
0.07475878367669557,19,1,5,0,35,A5.4
0.07475878367669557,19,1,5,0,35,A5.4
0.026647527567619476,3,2,4,0,0,A5.1
0.06330917810225013,1,0,19,0,0,A5.1
0.0350736254444047,0,0,11,0,0,A5.1
0.17800088158372057,45,8,10,4,1,A3.1-A4.1
0.15352223920444158,45,8,10,4,1,A3.1-A4.1
0.10438482199676402,45,8,10,4,1,A3.1-A4.1
0.10438482199676402,45,8,10,4,1,A3.1-A4.1
0.005572087563109725,1,0,1,0,0,A3.1-A4.1
0.03233327786185364,5,3,2,0,0,A3.1-A4.1
0.00277490802360335,1,0,1,0,0,A3.1-A4.1
0.001710520416162148,1,0,1,0,0,A3.1-A4.1
0.14592056755412128,29,3,6,4,0,A3.1-A4.1
0.003011367447032648,1,0,0,0,0,A3.1-A4.1
0.003137848319517625,1,0,0,0,0,A3.1-A4.1
0.09633483767185047,24,4,4,0,0,A3.1-A4.1
0.08717398659278411,24,4,4,0,0,A3.1-A4.1
0.036713109044825845,9,0,3,0,0,A3.1-A4.1
0.033681413672074535,10,0,3,0,0,A3.1-A4.1
0.03066503407466155,9,2,0,0,0,A3.1-A4.1
0.07815278533552704,18,2,3,0,0,A3.1-A4.1
0.02474318583217726,9,2,0,0,0,A3.1-A4.1
0.16896974074546744,43,6,10,4,1,A3.1-A4.1
0.06401271326411344,14,3,4,0,1,A3.1-A4.1
0.005573637050833577,2,0,0,0,0,A3.1-A4.1
0.003362600115503834,1,0,0,0,0,A3.1-A4.1
0.16560480528306865,38,7,8,0,1,A3.1-A4.1
0.0033178093811747906,1,0,0,0,0,A3.1-A4.1
0.07280809184860153,18,2,3,0,0,A3.1-A4.1
0.005515573650997062,2,0,0,0,0,A3.1-A4.1
0.036069682381180114,10,0,3,0,0,A3.1-A4.1
0.036069682381180114,10,0,3,0,0,A3.1-A4.1
0.01014684376322782,2,1,0,0,0,A3.1-A4.1
0.03163705069763577,9,0,3,0,0,A3.1-A4.1
0.03163705069763577,9,0,3,0,0,A3.1-A4.1
0.01242610087245992,3,1,0,0,0,A3.1-A4.1
0.021776594010085876,5,2,0,0,0,A3.1-A4.1
